Index,국가,확진자,치료중,위중증,사망자,완치,치명률,완치율,발생률,인구수
185,중앙아프리카 공화국,14649,7677,2,113,6859,0.8,46.8,3033,4829767
186,도미니카 연방,14295,331,-1,67,13897,0.5,97.2,198580,71986
187,사모아,13924,12292,4,27,1605,0.2,11.5,70176,198414
188,모나코,12360,100,4,57,12203,0.5,98.7,314969,39242
189,감비아,12002,46,-1,365,11591,3,96.6,4966,2416668
190,그린란드,11971,9189,4,21,2761,0.2,23.1,210868,56770
191,통가,11909,380,-1,12,11517,0.1,96.7,112673,105695
192,예멘,11822,566,23,2149,9107,18.2,77,396,29825964
193,세인트마틴 섬,10668,9206,7,63,1399,0.6,13.1,275901,38666
194,신트마르턴,10434,56,10,86,10292,0.8,98.6,243353,42876
195,바누아투,10246,716,-1,14,9516,0.1,92.9,33359,307145
196,카리브 네덜란드,10172,31,-1,35,10106,0.3,99.4,387904,26223
197,에리트레아,9768,5,-1,103,9660,1.1,98.9,2754,3546421
198,니제르,9031,93,1,310,8628,3.4,95.5,373,24206644
199,앤티카 바부다,8378,221,1,138,8019,1.6,95.7,85552,97929
200,기니비사우,8290,64,6,171,8055,2.1,97.2,4212,1968001
201,코모로,8100,7,-1,160,7933,2,97.9,9315,869601
202,라이베리아,7456,1415,2,294,5747,3.9,77.1,1474,5057681
203,차드,7418,2351,-1,193,4874,2.6,65.7,452,16425864
204,뉴칼레도니아,7176,7004,53,114,58,1.6,0.8,25135,285498
205,세인트빈센트 그레나딘,6923,174,-1,108,6641,1.6,95.9,62403,110940
206,영국령 버진아일랜드,6765,-1,1,62,-1,0.9,-1,223777,30231
207,시에라리온,6400,1886,-1,121,4393,1.9,68.6,802,7976983
208,터크스 케이커스 제도,6160,38,4,36,6086,0.6,98.8,159103,38717
209,상투메 프린시페,6003,12,-1,73,5918,1.2,98.6,27391,219159
210,세인트키츠 네비스,5821,87,-1,43,5691,0.7,97.8,109419,53199
211,쿡 제도,5711,27,-1,1,5683,0,99.5,325154,17564
212,팔라우,5126,728,1,6,4392,0.1,85.7,283298,18094
213,생바르텔레미,4630,-1,-1,6,-1,0.1,-1,468766,9877
214,앵귈라,3342,22,4,9,3311,0.3,99.1,222755,15003
215,키리바시,3183,563,3,13,2607,0.4,81.9,26647,119449
216,생피에르 미클롱,2765,315,1,1,2449,0,88.6,477218,5794
217,포클랜드 제도,1733,-1,-1,-1,-1,-1,-1,497989,3480
218,몬트세랫,1003,53,-1,8,942,0.8,93.9,200921,4992
219,왈리스 퓌티나,454,9,-1,7,438,1.5,96.5,-1,-1
220,마카오,83,1,-1,-1,82,-1,98.8,128,649335
221,미크로네시아,35,2,-1,-1,33,-1,94.3,304,115023
222,바티칸 시국,29,-1,-1,-1,29,-1,100,36205,801
223,마셜 제도,18,1,-1,-1,17,-1,94.4,304,59190
224,나우루,13,5,-1,-1,8,-1,61.5,1201,10824
225,서사하라,10,-1,-1,1,9,10,90,17,597339
226,니우에,9,-1,-1,-1,9,-1,100,5535,1626
227,잔담(크루즈),9,-1,-1,2,7,22.2,77.8,-1,-1
228,투발루,3,3,-1,-1,-1,-1,-,254,11792
229,세인트헬레나,2,-1,-1,-1,2,-1,100,329,6077
